"negative" "positive"
"1" 0.918 0.082
"2" 0.888 0.112
"3" 0.877 0.123
"4" 0.878 0.122
"5" 0.868 0.132
"6" 0.87 0.13
"7" 0.849 0.151
"8" 0.863 0.137
"9" 0.815 0.185
"10" 0.82 0.18
"11" 0.821 0.179
"12" 0.836 0.164
"13" 0.852 0.148
"14" 0.84 0.16
"15" 0.842 0.158
"16" 0.877 0.123
"17" 0.865 0.135
"18" 0.861 0.139
"19" 0.87 0.13
"20" 0.875 0.125
"21" 0.875 0.125
"22" 0.888 0.112
"23" 0.872 0.128
"24" 0.892 0.108
"25" 0.9 0.1
"26" 0.917 0.083
"27" 0.92 0.08
"28" 0.914 0.086
"29" 0.906 0.094
"30" 0.909 0.091
"31" 0.905 0.095
"32" 0.905 0.095
"33" 0.931 0.069
"34" 0.922 0.078
"35" 0.919 0.081
"36" 0.911 0.089
"37" 0.922 0.078
"38" 0.915 0.085
"39" 0.918 0.082
"40" 0.906 0.094
"41" 0.888 0.112
"42" 0.886 0.114
"43" 0.876 0.124
"44" 0.888 0.112
"45" 0.874 0.126
"46" 0.86 0.14
"47" 0.858 0.142
"48" 0.857 0.143
"49" 0.876 0.124
"50" 0.857 0.143
"51" 0.85 0.15
"52" 0.836 0.164
"53" 0.84 0.16
"54" 0.788 0.212
"55" 0.784 0.216
"56" 0.741 0.259
"57" 0.709 0.291
"58" 0.67 0.33
"59" 0.666 0.334
"60" 0.655 0.345
"61" 0.693 0.307
"62" 0.657 0.343
"63" 0.675 0.325
"64" 0.658 0.342
"65" 0.657 0.343
"66" 0.658 0.342
"67" 0.662 0.338
"68" 0.652 0.348
"69" 0.681 0.319
"70" 0.721 0.279
"71" 0.732 0.268
"72" 0.714 0.286
"73" 0.657 0.343
"74" 0.675 0.325
"75" 0.645 0.355
"76" 0.656 0.344
"77" 0.624 0.376
"78" 0.647 0.353
"79" 0.587 0.413
"80" 0.572 0.428
"81" 0.542 0.458
"82" 0.543 0.457
"83" 0.576 0.424
"84" 0.594 0.406
"85" 0.56 0.44
"86" 0.56 0.44
"87" 0.527 0.473
"88" 0.524 0.476
"89" 0.519 0.481
"90" 0.543 0.457
"91" 0.537 0.463
"92" 0.512 0.488
"93" 0.522 0.478
"94" 0.544 0.456
"95" 0.541 0.459
"96" 0.588 0.412
"97" 0.566 0.434
"98" 0.498 0.502
"99" 0.465 0.535
"100" 0.482 0.518
"101" 0.512 0.488
"102" 0.602 0.398
"103" 0.689 0.311
"104" 0.715 0.285
"105" 0.641 0.359
"106" 0.604 0.396
"107" 0.52 0.48
"108" 0.473 0.527
"109" 0.462 0.538
